Id,items-links-href,Address,Address-city,Price,Year,SqMtr,Rooms,Code
1547412898-1600,https://www.funda.nl/koop/verkocht/delft/appartement-40808396-derde-werelddreef-140/?navigateSource=resultlist,Third World Dreef 140,2622 HH Delft,"189,000",1988,74,3,2622
1547410847-1146,https://www.funda.nl/koop/verkocht/delft/appartement-40712092-israellaan-1-a/?navigateSource=resultlist,Israellaan 1 a,2622 HR Delft,"189,000",1987,93,4,2622
1547410939-1167,https://www.funda.nl/koop/verkocht/delft/appartement-86218619-isaak-hoornbeekstraat-28/?navigateSource=resultlist,Isaäk Hoornbeekstraat 28,2613 HH Delft,"150,000",1929,67,4,2613
1547407622-439,https://www.funda.nl/koop/verkocht/delft/huis-40486863-oude-delft-65/?navigateSource=resultlist,Oude Delft 65,2611 BC Delft,"745,000",1906,167,6,2611
1547411753-1348,https://www.funda.nl/koop/verkocht/delft/huis-40426468-klinkerbuurt-3-fase-1-bouwnr-123/?navigateSource=resultlist,Klinkerbuurt 3 phase 1 (Building No. 123),2628 ZR Delft,"452,500",2018,161,6,2628
1547410944-1168,https://www.funda.nl/koop/verkocht/delft/huis-86221534-kloosterkade-184/?navigateSource=resultlist,Kloosterkade 184,2628 JH Delft,"350,000",1928,121,5,2628
1547408204-569,https://www.funda.nl/koop/verkocht/delft/huis-49383425-gelukkig-slot-bouwnr-20/?navigateSource=resultlist,Happy Slot (Building No. 20),2614 SR Delft,"376,000",2018,131,5,2614
1547412724-1562,https://www.funda.nl/koop/verkocht/delft/huis-40880565-konijnensingel-20/?navigateSource=resultlist,Konensensel 20,2623 BJ Delft,"309,000",1978,103,5,2623
1547410188-1000,https://www.funda.nl/koop/verkocht/delft/huis-40548008-rooseveltlaan-25/?navigateSource=resultlist,Rooseveltlaan 25,2625 GL Delft,"269,500",1969,110,5,2625
1547411959-1393,https://www.funda.nl/koop/verkocht/delft/huis-40524407-klinkerbuurt-3-fase-2-bouwnr-100/?navigateSource=resultlist,Klinkerbuurt 3 phase 2 (Building No. 100),2628 ZT Delft,"447,500",2018,161,5,2628
1547410480-1065,https://www.funda.nl/koop/verkocht/delft/appartement-40613495-brasserskade-69/?navigateSource=resultlist,Brasserskade 69,2612 CA Delft,"169,000",1925,72,4,2612
1547409095-764,https://www.funda.nl/koop/verkocht/delft/appartement-40550518-hendrik-tollensstraat-40/?navigateSource=resultlist,Hendrik Tollensstraat 40,2624 BH Delft,"149,000",1966,65,3,2624
1547412843-1588,https://www.funda.nl/koop/verkocht/delft/appartement-40848718-van-adrichemstraat-69/?navigateSource=resultlist,Van Adrichemstraat 69,2614 BK Delft,"92,500",1970,30,2,2614
1547410400-1047,https://www.funda.nl/koop/verkocht/delft/appartement-40533630-westvest-275/?navigateSource=resultlist,Westvest 275,2611 BX Delft,"250,000",1990,82,3,2611
1547409537-858,https://www.funda.nl/koop/verkocht/delft/appartement-40442190-montgomerylaan-76/?navigateSource=resultlist,Montgomerylaan 76,2625 PP Delft,"185,000",1973,94,4,2625
1547413134-1647,https://www.funda.nl/koop/verkocht/delft/huis-40994932-van-barenstraat-38/?navigateSource=resultlist,Van Barenstraat 38,2628 LD Delft,"465,000",1989,114,5,2628
1547410876-1153,https://www.funda.nl/koop/verkocht/delft/appartement-40712667-nassauplein-1/?navigateSource=resultlist,Nassauplein 1,2628 GS Delft,"209,000",1930,64,3,2628
1547412940-1609,https://www.funda.nl/koop/verkocht/delft/appartement-40847483-van-der-haertstraat-17/?navigateSource=resultlist,Van der Haertstraat 17,2613 XZ Delft,"209,000",1962,76,3,2613
1547410720-1118,https://www.funda.nl/koop/verkocht/delft/huis-40629964-raam-8/?navigateSource=resultlist,Window 8,2611 LT Delft,"225,000",1850,78,4,2611
1547409146-775,https://www.funda.nl/koop/verkocht/delft/huis-40571410-raam-14/?navigateSource=resultlist,Window 14,2611 LT Delft,"235,000",1882,90,5,2611
1547410134-988,https://www.funda.nl/koop/verkocht/delft/huis-40691296-delfgauwseweg-217/?navigateSource=resultlist,Delfgauwseweg 217,2628 EN Delft,"469,000",1944,140,6,2628
1547411196-1224,https://www.funda.nl/koop/verkocht/delft/appartement-40589028-guldenwater-2-bouwnr-203/?navigateSource=resultlist,Guldenwater 2 (Building No. 203),2613 JV Delft,"228,000",2018,69,2,2613
1547412944-1610,https://www.funda.nl/koop/verkocht/delft/appartement-40500914-chilipad-7/?navigateSource=resultlist,Chilipad 7,2622 AZ Delft,"292,400",2018,74,3,2622
1547407913-504,https://www.funda.nl/koop/verkocht/delft/huis-40481711-willem-de-zwijgerstraat-2/?navigateSource=resultlist,Willem de Zwijgerstraat 2,2628 SP Delft,"675,000",1910,181,7,2628
1547411824-1364,https://www.funda.nl/koop/verkocht/delft/huis-40426484-klinkerbuurt-3-fase-1-bouwnr-64/?navigateSource=resultlist,Klinkerbuurt 3 phase 1 (Building No. 64),2628 ZR Delft,"381,000",2018,126,5,2628
1547407997-523,https://www.funda.nl/koop/verkocht/delft/appartement-40424920-foulkeslaan-123/?navigateSource=resultlist,Foulkeslaan 123,2625 RC Delft,"186,000",1973,94,4,2625
1547411563-1306,https://www.funda.nl/koop/verkocht/delft/appartement-40617688-markt-35/?navigateSource=resultlist,Markt 35,2611 GR Delft,"525,000",1925,148,6,2611
