Id,Address,Price,Year,SqMtr,Rooms,Address-city,Code,pricePerM
1547392806-344,Vlamingstraat 34 34a 2611 KX Delft,"865,000",1990,250,9,2611 KX Delft,2611,3460
1547392714-314,Noordeinde 9 c 2611 KE Delft,"565,000",1906,163,6,2611 KE Delft,2611,3466.257669
1547392246-187,C. Fockstraat 86 2613 DH Delft,"285,000",1936,82,4,2613 DH Delft,2613,3475.609756
1547392656-297,Patrimoniumstraat 27 2613 TM Delft,"259,000",1923,74,3,2613 TM Delft,2613,3500
1547392895-373,Machteld van Meterenlaan 26 2628 LR Delft,"599,500",2004,171,7,2628 LR Delft,2628,3505.847953
1547392621-286,Javastraat 47 2612 AP Delft,"249,000",1919,71,3,2612 AP Delft,2612,3507.042254
1547392817-348,Molukkenstraat 13 2612 EC Delft,"439,000",1937,125,6,2612 EC Delft,2612,3512
1547392834-354,Spoorsingel 59 2613 BA Delft,"935,000",1890,266,9,2613 BA Delft,2613,3515.037594
1547392530-256,Laan van Overvest 44 2613 DM Delft,"550,000",1903,155,5,2613 DM Delft,2613,3548.387097
1547392675-302,Ruys de Beerenbrouckstraat 5 2613 AS Delft,"585,000",1937,164,5,2613 AS Delft,2613,3567.073171
1547392794-341,New Plantation 93 2611 XM Delft,"735,000",1906,205,6,2611 XM Delft,2611,3585.365854
1547392127-159,Chilipad 37 2622 AZ Delft,"298,800",2018,83,3,2622 AZ Delft,2622,3600
1547392524-254,Noordeinde 76 2611 WT Delft,"220,000",1983,61,3,2611 WT Delft,2611,3606.557377
1547392845-358,Westerstraat 29 2613 RD Delft,"285,000",1906,79,4,2613 RD Delft,2613,3607.594937
1547392668-300,Hugo van Rijkenlaan 3 2612 JP Delft,"250,000",1923,69,3,2612 JP Delft,2612,3623.188406
1547392956-393,Molukkenstraat 8 2612 EC Delft,"465,000",1937,128,6,2612 EC Delft,2612,3632.8125
1547392623-287,Cornelis Trompstraat 39 I 2628 RN Delft,"309,000",1921,85,3,2628 RN Delft,2628,3635.294118
1547392189-174,Oude Delft 110 bn 503 2611 CE Delft,"725,000",2020,199,7,2611 CE Delft,2611,3643.21608
1547392488-242,Guldenwater 5 (Building No. 503) 2613 JV Delft,"725,000",2018,199,6,2613 JV Delft,2613,3643.21608
1547392734-321,Rietveld 184 2611 LP Delft,"645,000",1978,176,5,2611 LP Delft,2611,3664.772727
1547392371-215,Hugo de Grootstraat 1 2613 VM Delft,"925,000",1900,251,7,2613 VM Delft,2613,3685.258964
1547392482-240,Building number (Building No. 9) 2613 XP Delft,"815,000",2018,221,7,2613 XP Delft,2613,3687.782805
1547392357-212,Zuidwal 41 2611 DD Delft,"450,000",2005,122,6,2611 DD Delft,2611,3688.52459
1547392763-330,Brabantse Turfmarkt 68 2611 CP Delft,"425,000",1652,115,4,2611 CP Delft,2611,3695.652174
1547392131-160,Chilipad 15 2622 AZ Delft,"284,800",2018,77,3,2622 AZ Delft,2622,3698.701299
1547392659-298,Van de Spiegelstraat 37 2613 EX Delft,"315,000",1923,85,5,2613 EX Delft,2613,3705.882353
1547392908-376,Molukkenstraat 5 2612 EC Delft,"449,000",1937,121,5,2612 EC Delft,2612,3710.743802
1547392214-179,Zuiderstraat 296 2611 SM Delft,"335,000",1906,90,4,2611 SM Delft,2611,3722.222222
1547392788-339,Kolk 10 2611 KD Delft,"540,000",1930,145,5,2611 KD Delft,2611,3724.137931
1547392634-290,Window 82 2611 WP Delft,"325,000",2002,87,3,2611 WP Delft,2611,3735.632184
1547392609-283,Office moat 3 2611 PE Delft,"389,000",1983,102,5,2611 PE Delft,2611,3813.72549
1547392182-172,Building number (Building No. 1) 2613 SS Delft,"320,584",2018,84,3,2613 SS Delft,2613,3816.47619
1547392785-338,Ezelsveldlaan 99 2611 RV Delft,"1,050,000",1911,275,5,2611 RV Delft,2611,3818.181818
1547392883-369,Prof. dr. Krausstraat 116 2628 JT Delft,"267,500",1952,70,4,2628 JT Delft,2628,3821.428571
1547392430-227,Gasthuissteeg 7 2611 RH Delft,"369,000",1910,96,4,2611 RH Delft,2611,3843.75
1547392780-336,Nieuwelaan 170 2611 SB Delft,"415,000",1998,107,3,2611 SB Delft,2611,3878.504673
1547392946-389,Buitenwatersloot 244 2613 SZ Delft,"695,000",1948,179,7,2613 SZ Delft,2613,3882.681564
1547392791-340,Hof van Delftlaan 2 a 2613 BN Delft,"509,000",1944,131,7,2613 BN Delft,2613,3885.496183
1547392652-296,Eliza Dorusstraat 9 2613 ED Delft,"250,000",1891,64,3,2613 ED Delft,2613,3906.25
1547392961-395,Elisabeth van Zuilenlaan 20 2628 LL Delft,"575,000",2005,147,6,2628 LL Delft,2628,3911.564626
1547392811-346,Henry Dunantlaan 43 2614 GK Delft,"650,000",1970,166,7,2614 GK Delft,2614,3915.662651
1547392902-374,Spoorsingel 67 2613 BA Delft,"995,000",1895,253,7,2613 BA Delft,2613,3932.806324
1547392975-400,Dijkshoornseweg 209 2614 KC Delft,"1,075,000",1974,273,8,2614 KC Delft,2614,3937.728938
1547392471-237,Chilipad 31 2622 AZ Delft,"292,400",2018,74,3,2622 AZ Delft,2622,3951.351351
1547392291-197,Isaäk Hoornbeekstraat 5 2613 HE Delft,"250,000",1929,63,3,2613 HE Delft,2613,3968.253968
1547392439-229,Brouwersstraat 10 2613 PP Delft,"199,000",1887,50,3,2613 PP Delft,2613,3980
1547392379-217,Hovenierstraat 15 2613 RM Delft,"275,000",1906,69,3,2613 RM Delft,2613,3985.507246
1547392665-299,Caspar Fagelstraat 12 2613 GW Delft,"295,000",1936,74,3,2613 GW Delft,2613,3986.486486
1547392905-375,Oostsingel 89 2612 HE Delft,"595,000",1930,149,6,2612 HE Delft,2612,3993.288591
1547392808-345,Oostsingel 116 2612 HG Delft,"860,000",1890,215,7,2612 HG Delft,2612,4000
1547392124-158,Chilipad 27 2622 AZ Delft,"292,400",2018,73,3,2622 AZ Delft,2622,4005.479452
1547392978-401,Vaandelstraat 34 2611 DB Delft,"895,000",2004,222,6,2611 DB Delft,2611,4031.531532
1547392501-247,WeLoft 2611 DV Delft,"530,000",2018,131,3,2611 DV Delft,2611,4045.801527
1547392176-170,Building number (Building No. B2) 2611 DV Delft,"530,000",2018,131,4,2611 DV Delft,2611,4045.801527
1547392740-323,Lange Geer 4 2611 PV Delft,"825,000",1915,202,6,2611 PV Delft,2611,4084.158416
1547392397-221,Koningsplein 55 2611 XE Delft,"229,000",1913,56,2,2611 XE Delft,2611,4089.285714
1547392310-202,Choorstraat 38 40 2611 JH Delft,"575,000",1906,140,4,2611 JH Delft,2611,4107.142857
1547392138-162,Bouwnummer (Bouwnr. 12) 2613 XP Delft,"450,000",2018,109,3,2613 XP Delft,2613,4128.440367
1547392172-169,Building number (Building No. B1) 2611 DV Delft,"410,000",2018,99,4,2611 DV Delft,2611,4141.414141
1547392504-248,Oude Delft 110 bn 211 2611 CE Delft,"502,000",2020,121,4,2611 CE Delft,2611,4148.760331
1547392937-387,Hopstraat 2 2611 TC Delft,"749,500",1913,180,4,2611 TC Delft,2611,4163.888889
1547392823-350,Hopstraat 15 2611 TA Delft,"175,000",1906,42,2,2611 TA Delft,2611,4166.666667
1547392707-313,Bastiaansplein 83 2611 DC Delft,"500,000",2005,120,4,2611 DC Delft,2611,4166.666667
1547392168-168,WeLoft 2611 DV Delft,"410,000",2018,98,3,2611 DV Delft,2611,4183.673469
1547392532-257,Oude Delft 110 bn 1088 2611 CE Delft,"585,000",2020,139,4,2611 CE Delft,2611,4208.633094
1547392717-315,Nieuwstraat 10 B 2611 HK Delft,"249,500",1906,59,3,2611 HK Delft,2611,4228.813559
1547392699-310,Behind 54 54a 2611 PR Delft,"695,000",1906,164,6,2611 PR Delft,2611,4237.804878
1547392839-356,Visstraat 52 54 2611 JX Delft,"595,000",1905,140,6,2611 JX Delft,2611,4250
1547392981-402,Heilige Geestkerkhof 21 2611 HP Delft,"995,000",1906,234,6,2611 HP Delft,2611,4252.136752
1547392334-208,Bastiaansplein 91 2611 DC Delft,"519,000",2010,122,3,2611 DC Delft,2611,4254.098361
1547392916-379,Behind 141 2611 PN Delft,"545,000",1978,127,5,2611 PN Delft,2611,4291.338583
1547392728-319,Vrouwjuttenland 3 2611 LB Delft,"375,000",1906,87,4,2611 LB Delft,2611,4310.344828
1547392719-316,Voorstraat 83 a 2611 JM Delft,"415,000",1906,96,3,2611 JM Delft,2611,4322.916667
1547392165-167,WeLoft 2611 DV Delft,"425,000",2018,98,3,2611 DV Delft,2611,4336.734694
1547392506-249,Bouwnummer (Bouwnr. D2) 2611 DV Delft,"425,000",2018,98,4,2611 DV Delft,2611,4336.734694
1547392696-309,Rietveld 92 2611 LN Delft,"449,000",1906,103,5,2611 LN Delft,2611,4359.223301
1547392462-234,Guldenwater 1 (Bouwnr. 1102) 2613 JV Delft,"314,500",2018,72,2,2613 JV Delft,2613,4368.055556
1547392772-333,Werfpad 3 2628 BV Delft,"229,000",2006,52,2,2628 BV Delft,2628,4403.846154
1547392874-366,Oude Delft 47 2611 BC Delft,"2,495,000",1653,565,10,2611 BC Delft,2611,4415.929204
1547392179-171,Bouwnummer (Bouwnr. D1) 2611 DV Delft,"399,000",2018,90,4,2611 DV Delft,2611,4433.333333
1547392161-166,WeLoft 2611 DV Delft,"399,000",2018,90,3,2611 DV Delft,2611,4433.333333
1547392298-199,Pootstraat 21 2613 PE Delft,"169,000",1930,38,2,2613 PE Delft,2613,4447.368421
1547392206-178,New Langendijk 68 68a 2611 VL Delft,"410,000",1906,92,5,2611 VL Delft,2611,4456.521739
1547392142-163,Graaf Floriskade 48 2613 JV Delft,"312,500",2018,70,2,2613 JV Delft,2613,4464.285714
1547392581-273,Tuinstraat 30 2613 RC Delft,"250,000",1880,56,3,2613 RC Delft,2613,4464.285714
1547392302-200,Koningsveld 7 2628 LH Delft,"500,000",2000,111,4,2628 LH Delft,2628,4504.504505
1547392135-161,Building number (Building No. 14) 2613 XP Delft,"985,000",2018,216,5,2613 XP Delft,2613,4560.185185
1547392828-352,Oosterstraat 11 2611 TT Delft,"219,000",1865,48,2,2611 TT Delft,2611,4562.5
1547392799-343,Oude Delft 60 2611 CD Delft,"1,150,000",1600,251,6,2611 CD Delft,2611,4581.673307
1547392466-235,Guldenwater 2 (Building No. 251) 2613 JV Delft,"527,000",2018,115,4,2613 JV Delft,2613,4582.608696
1547392618-285,Oosteinde 160 2611 SR Delft,"785,000",1861,170,6,2611 SR Delft,2611,4617.647059
1547392702-311,Parkzoom 315 2614 TE Delft,"795,000",1995,168,4,2614 TE Delft,2614,4732.142857
1547392863-363,Oude Delft 69 c 2611 BC Delft,"450,000",1906,95,3,2611 BC Delft,2611,4736.842105
1547392949-390,Buitenwatersloot 325 2614 GS Delft,"735,000",2010,155,6,2614 GS Delft,2614,4741.935484
1547392959-394,Laan van Groenewegen 10 2614 KG Delft,"935,000",2009,196,5,2614 KG Delft,2614,4770.408163
1547392951-391,Beestenmarkt 54 2611 GC Delft,"514,000",1964,106,5,2611 GC Delft,2611,4849.056604
1547392154-164,WeLoft 2611 DV Delft,"335,000",2018,67,3,2611 DV Delft,2611,5000
1547392158-165,Bouwnummer (Bouwnr. C1) 2611 DV Delft,"335,000",2018,67,3,2611 DV Delft,2611,5000
1547392186-173,WeLoft 2611 DV Delft,"499,500",2018,98,2,2611 DV Delft,2611,5096.938776
1547392889-371,Verwersdijk 98 2611 NK Delft,"659,500",1650,120,5,2611 NK Delft,2611,5495.833333
1547392679-303,Voorstraat 98 2611 JT Delft,"449,000",1540,80,3,2611 JT Delft,2611,5612.5
1547392877-367,Buitenwatersloot 50 2613 ST Delft,"325,000",1650,55,3,2613 ST Delft,2613,5909.090909
1547392973-399,Laan van Groenewegen 11 2614 KG Delft,"1,450,000",2011,234,6,2614 KG Delft,2614,6196.581197
1547392814-347,Laan van Overvest 24 2613 DM Delft,"750,000",1906,114,6,2613 DM Delft,2613,6578.947368
1547392923-382,Sint Eustatiusstraat 2 2612 HA Delft,"1,245,000",1958,174,5,2612 HA Delft,2612,7155.172414
