web-scraper-order,items-links-href,Address,Price,Year,SqMtr,Rooms,Address-city,Code,Energy,Plot,Floors,Surface
1547461689-1788,https://www.funda.nl/koop/delft/huis-40689204-buitenwatersloot-50/?navigateSource=resultlist,Buitenwatersloot 50 2613 ST Delft,325000,1650,55,3,2613 ST Delft,2613,C,68,3,68
1547461711-1797,https://www.funda.nl/koop/delft/huis-40914198-molukkenstraat-5/?navigateSource=resultlist,Molukkenstraat 5 2612 EC Delft,449000,1937,121,5,2612 EC Delft,2612,D,118,3,118
1547461481-1698,https://www.funda.nl/koop/delft/huis-40988409-handboogstraat-7/?navigateSource=resultlist,Handboogstraat 7 2613 PZ Delft,279000,1906,85,4,2613 PZ Delft,2613,F,55,3,55
1547461683-1785,https://www.funda.nl/koop/delft/huis-40075595-reeweg-10/?navigateSource=resultlist,Reeweg 10 2623 CE Delft,250000,1977,85,3,2623 CE Delft,2623,C,163,2,163
1547461659-1775,https://www.funda.nl/koop/delft/huis-40902759-ternatestraat-34/?navigateSource=resultlist,Ternatestraat 34 2612 BG Delft,350000,1936,137,4,2612 BG Delft,2612,D,99,1,99
1547461492-1703,https://www.funda.nl/koop/delft/huis-40855339-hugo-de-grootstraat-1/?navigateSource=resultlist,Hugo de Grootstraat 1 2613 VM Delft,925000,1900,251,7,2613 VM Delft,2613,E,153,3,153
1547461626-1761,https://www.funda.nl/koop/delft/huis-40921808-antoon-coolenlaan-49/?navigateSource=resultlist,Antoon Coolenlaan 49 2624 NW Delft,385000,1969,190,7,2624 NW Delft,2624,C,166,1,166
1547461745-1812,https://www.funda.nl/koop/delft/huis-40613487-beestenmarkt-54/?navigateSource=resultlist,Beestenmarkt 54 2611 GC Delft,514000,1964,106,5,2611 GC Delft,2611,C,72,1,72
1547461763-1820,https://www.funda.nl/koop/delft/huis-40062183-dijkshoornseweg-209/?navigateSource=resultlist,Dijkshoornseweg 209 2614 KC Delft,1075000,1974,273,8,2614 KC Delft,2614,D,859,2,859
1547461760-1819,https://www.funda.nl/koop/delft/huis-40911245-laan-van-groenewegen-11/?navigateSource=resultlist,Laan van Groenewegen 11 2614 KG Delft,1450000,2011,234,6,2614 KG Delft,2614,A,669,2,669
1547461609-1753,https://www.funda.nl/koop/delft/huis-40589146-oostblok-48/?navigateSource=resultlist,Oostblok 48 2612 PD Delft,249000,1930,80,4,2612 PD Delft,2612,F,99,3,99
1547461676-1782,https://www.funda.nl/koop/delft/huis-40067003-visstraat-52-54/?navigateSource=resultlist,Visstraat 52 54 2611 JX Delft,595000,1905,140,6,2611 JX Delft,2611,D,123,3,71
1547461526-1718,https://www.funda.nl/koop/delft/huis-40589056-guldenwater-5-bouwnr-503/?navigateSource=resultlist,Guldenwater 5 (Bouwnr 503) 2613 JV Delft,725000,2018,199,6,2613 JV Delft,2613,A,0,4,0
1547461554-1730,https://www.funda.nl/koop/delft/huis-40065592-gasthuislaan-214/?navigateSource=resultlist,Gasthuislaan 214 2611 RC Delft,325000,1980,103,5,2611 RC Delft,2611,C,0,3,0
1547461613-1755,https://www.funda.nl/koop/delft/huis-40886715-achterom-54-54a/?navigateSource=resultlist,Achterom 54 54a 2611 PR Delft,695000,1906,164,6,2611 PR Delft,2611,D,220,3,163
1547461576-1739,https://www.funda.nl/koop/delft/huis-40998634-oosteinde-160/?navigateSource=resultlist,Oosteinde 160 2611 SR Delft,785000,1861,170,6,2611 SR Delft,2611,F,214,3,102
1547461524-1717,https://www.funda.nl/koop/delft/huis-40493038-bouwnummer-bouwnr-9/?navigateSource=resultlist,Bouwnummer (Bouwnr 9) 2613 XP Delft,815000,2018,221,7,2613 XP Delft,2613,A,107,1,0
1547461589-1745,https://www.funda.nl/koop/delft/huis-40929308-henry-dunantlaan-87/?navigateSource=resultlist,Henry Dunantlaan 87 2614 GL Delft,529000,1964,162,6,2614 GL Delft,2614,C,261,2,261
1547461572-1737,https://www.funda.nl/koop/delft/huis-40911421-kantoorgracht-3/?navigateSource=resultlist,Kantoorgracht 3 2611 PE Delft,389000,1983,102,5,2611 PE Delft,2611,E,44,3,44
1547461674-1781,https://www.funda.nl/koop/delft/huis-40052052-delfgauwseweg-13/?navigateSource=resultlist,Delfgauwseweg 13 2628 EG Delft,339500,1910,112,4,2628 EG Delft,2628,B,85,1,85
1547461709-1796,https://www.funda.nl/koop/delft/huis-40911436-oostsingel-89/?navigateSource=resultlist,Oostsingel 89 2612 HE Delft,595000,1930,149,6,2612 HE Delft,2612,D,96,3,96
1547461700-1793,https://www.funda.nl/koop/delft/huis-40987601-guineelaan-30/?navigateSource=resultlist,Guineelaan 30 2622 DJ Delft,300000,1989,117,6,2622 DJ Delft,2622,C,118,3,118
1547461694-1790,https://www.funda.nl/koop/delft/huis-40803655-prof-krausstraat-116/?navigateSource=resultlist,Prof Krausstraat 116 2628 JT Delft,267500,1952,70,4,2628 JT Delft,2628,E,104,2,104
1547461611-1754,https://www.funda.nl/koop/delft/huis-40667806-rietveld-92/?navigateSource=resultlist,Rietveld 92 2611 LN Delft,449000,1906,103,5,2611 LN Delft,2611,F,78,3,78
1547461646-1769,https://www.funda.nl/koop/delft/huis-40620131-oude-delft-60/?navigateSource=resultlist,Oude Delft 60 2611 CD Delft,1150000,1600,251,6,2611 CD Delft,2611,G,115,3,115
1547461485-1700,https://www.funda.nl/koop/delft/huis-40906131-van-der-kamlaan-87/?navigateSource=resultlist,Van der Kamlaan 87 2625 KP Delft,298000,1969,109,5,2625 KP Delft,2625,C,124,3,124
1547461453-1686,https://www.funda.nl/koop/delft/huis-40713905-oude-delft-110-bn-503/?navigateSource=resultlist,Oude Delft 110 bn 503 2611 CE Delft,725000,2020,199,7,2611 CE Delft,2611,A,0,4,0
1547461462-1689,https://www.funda.nl/koop/delft/huis-40692331-zuiderstraat-296/?navigateSource=resultlist,Zuiderstraat 296 2611 SM Delft,335000,1906,90,4,2611 SM Delft,2611,F,43,3,43
1547461479-1697,https://www.funda.nl/koop/delft/huis-40827347-arnoldstraat-16/?navigateSource=resultlist,Arnoldstraat 16 2613 DW Delft,250000,1903,82,4,2613 DW Delft,2613,C,50,3,50
1547461681-1784,https://www.funda.nl/koop/delft/huis-40061107-westerstraat-29/?navigateSource=resultlist,Westerstraat 29 2613 RD Delft,285000,1906,79,4,2613 RD Delft,2613,F,61,3,61
1547461655-1773,https://www.funda.nl/koop/delft/huis-40981767-laan-van-overvest-24/?navigateSource=resultlist,Laan van Overvest 24 2613 DM Delft,750000,1906,114,6,2613 DM Delft,2613,F,265,1,265
1547461531-1719,https://www.funda.nl/koop/delft/huis-86285520-antonia-veerstraat-14/?navigateSource=resultlist,Antonia Veerstraat 14 2614 HV Delft,285000,1988,106,4,2614 HV Delft,2614,C,113,1,113
1547461637-1765,https://www.funda.nl/koop/delft/huis-49310702-kolk-10/?navigateSource=resultlist,Kolk 10 2611 KD Delft,540000,1930,145,5,2611 KD Delft,2611,G,35,4,35
1547461542-1724,https://www.funda.nl/koop/delft/huis-40920290-van-der-kamlaan-65/?navigateSource=resultlist,Van der Kamlaan 65 2625 KN Delft,270000,1969,113,4,2625 KN Delft,2625,C,128,3,128
1547461503-1707,https://www.funda.nl/koop/delft/huis-40918656-raad-van-europalaan-9/?navigateSource=resultlist,Raad van Europalaan 9 2625 PA Delft,449000,1998,204,5,2625 PA Delft,2625,B,229,3,229
1547461618-1757,https://www.funda.nl/koop/delft/huis-40894955-rietveld-184/?navigateSource=resultlist,Rietveld 184 2611 LP Delft,645000,1978,176,5,2611 LP Delft,2611,C,77,4,77
1547461468-1692,https://www.funda.nl/koop/delft/huis-40994762-boliviastraat-19/?navigateSource=resultlist,Boliviastraat 19 2622 BK Delft,299000,1982,112,6,2622 BK Delft,2622,C,108,3,108
1547461663-1777,https://www.funda.nl/koop/delft/huis-40914963-delfgauwseweg-66/?navigateSource=resultlist,Delfgauwseweg 66 2628 EV Delft,498000,2010,162,5,2628 EV Delft,2628,A,187,3,187
1547461631-1763,https://www.funda.nl/koop/delft/huis-40061492-marterstraat-35/?navigateSource=resultlist,Marterstraat 35 2623 ED Delft,335000,1977,123,5,2623 ED Delft,2623,C,141,1,141
1547461546-1726,https://www.funda.nl/koop/delft/huis-40991618-de-vriesstraat-32/?navigateSource=resultlist,De Vriesstraat 32 2613 CB Delft,360000,1933,109,5,2613 CB Delft,2613,F,152,3,104
1547461473-1694,https://www.funda.nl/koop/delft/huis-40067188-sandinoweg-37/?navigateSource=resultlist,Sandinoweg 37 2622 DV Delft,300000,1993,113,5,2622 DV Delft,2622,B,120,3,120
1547461466-1691,https://www.funda.nl/koop/delft/huis-40927727-aagje-dekenlaan-22/?navigateSource=resultlist,Aagje Dekenlaan 22 2624 CC Delft,222500,1966,95,5,2624 CC Delft,2624,E,157,1,157
1547461730-1806,https://www.funda.nl/koop/delft/huis-40610489-bakemastraat-97-bn-143/?navigateSource=resultlist,Bakemastraat 97 bn 143 2628 ZS Delft,537500,2019,185,7,2628 ZS Delft,2628,A,62,4,0
1547461769-1823,https://www.funda.nl/koop/delft/huis-40061246-amazoneweg-24/?navigateSource=resultlist,Amazoneweg 24 2622 DS Delft,300000,1993,118,5,2622 DS Delft,2622,B,106,3,106
