web-scraper-order,items-links-href,Address,Address-city,Code,Price,Year,SqMtr,Rooms,Energy,Plot,Floors,Surface
1547467230-2262,https://www.funda.nl/koop/verkocht/delft/huis-49383492-gelukkig-slot-bouwnr-14/?navigateSource=resultlist,Gelukkig Slot (Bouwnr. 14) 2614 SR Delft,2614 SR Delft,2614,490000,2018,175,5,A,470,1,0
1547469630-2734,https://www.funda.nl/koop/verkocht/delft/huis-40862801-carthuyzerstraat-8/?navigateSource=resultlist,Carthuyzerstraat 8 2613 PB Delft,2613 PB Delft,2613,189000,1891,48,3,G,43,2,43
1547468260-2464,https://www.funda.nl/koop/verkocht/delft/huis-40651392-lookwatering-38/?navigateSource=resultlist,Lookwatering 38 2614 KA Delft,2614 KA Delft,2614,640000,1995,135,6,B,4,1,153
1547469993-2807,https://www.funda.nl/koop/verkocht/delft/huis-86293419-van-bronckhorststraat-7/?navigateSource=resultlist,Van Bronckhorststraat 7 2612 XT Delft,2612 XT Delft,2612,279000,1910,82,3,F,91,1,91
1547467525-2320,https://www.funda.nl/koop/verkocht/delft/huis-40444741-koepoortstraat-9/?navigateSource=resultlist,Koepoortstraat 9 2612 HS Delft,2612 HS Delft,2612,269000,1906,71,4,F,13,3,64
1547467856-2385,https://www.funda.nl/koop/verkocht/delft/huis-40431390-landsteinerbocht-1/?navigateSource=resultlist,Landsteinerbocht 1 2614 GN Delft,2614 GN Delft,2614,715000,1965,181,6,D,11,1,504
1547469308-2669,https://www.funda.nl/koop/verkocht/delft/huis-40426498-klinkerbuurt-3-fase-1-bouwnr-78/?navigateSource=resultlist,Klinkerbuurt 3 fase 1 (Bouwnr. 78) 2628 ZR Delft,2628 ZR Delft,2628,359000,2018,126,5,A,479,1,0
1547469984-2805,https://www.funda.nl/koop/verkocht/delft/huis-40647034-westerstraat-47/?navigateSource=resultlist,Westerstraat 47 2613 RE Delft,2613 RE Delft,2613,245000,1906,70,3,F,69,1,69
1547466951-2208,https://www.funda.nl/koop/verkocht/delft/huis-40486863-oude-delft-65/?navigateSource=resultlist,Oude Delft 65 2611 BC Delft,2611 BC Delft,2611,745000,1906,167,6,F,6,2,134
1547469960-2800,https://www.funda.nl/koop/verkocht/delft/huis-40610714-bakemastraat-97-bwn-135/?navigateSource=resultlist,Bakemastraat 97 bwn 135 2628 ZS Delft,2628 ZS Delft,2628,625000,2019,217,7,A,64,4,73
1547467604-2336,https://www.funda.nl/koop/verkocht/delft/huis-49152072-van-walsumhof-6/?navigateSource=resultlist,Van Walsumhof 6 2625 NP Delft,2625 NP Delft,2625,385000,2000,147,4,B,5,2,197
1547469518-2711,https://www.funda.nl/koop/verkocht/delft/huis-40860589-teding-van-berkhoutlaan-31/?navigateSource=resultlist,Teding van Berkhoutlaan 31 2614 AV Delft,2614 AV Delft,2614,415000,1959,140,6,F,278,1,278
1547467530-2321,https://www.funda.nl/koop/verkocht/delft/huis-40552749-sijsjespad-15/?navigateSource=resultlist,Sijsjespad 15 2623 GD Delft,2623 GD Delft,2623,330000,1978,143,7,C,8,1,205
